Material,"Density
","Melting Point
","Boiling Point
",Material,"Electric Resistivity
",Material,"Thermal Expansion Coefficient
","Thermal Conductivity
",Material,"Tensile Strength
","Elongation
",Material,Specific Heat (J/kgoC),Material,Boiling Points at Atmospheric Pressure,Material,Radiation Constant ,Material,"Thermal Conductivity 
- k - W/",Material,Crushing Weight ,Shearing Strength ,"Strength
",Material,Ksp,Material,Density,Material
Aluminum,2.71,660.3,2519,Aluminum,27,Aluminum,23,237,Aluminum,70,60,Acetals,1460,Acetaldehyde CH3CHO,20.8,Black body,5.7,Acetone,0.16,Sandstone,150,8000,1500,Aluminium hydroxide,3*10-34,ABS,1.06,
Aluminum Alloy,2.64 - 2.8,565.0 - 660.0,-,Aluminum Alloy,50,Aluminum Alloy,23,-,Aluminum Alloy,100 - 550,1 - 45,Air,1005,Acetic acid anhydride 2O,139,Brass,0.152,Acetylene ,0.018,Granite,170,15000,2000,Aluminium phosphate,9.84 *10-21,Acetals,1.42,
Brass,8.4 - 8.75,930,-,Brass,20 - 61,Brass,19.1 - 21.2,-,Brass,200 - 620,4 - 60,Agate,800,Acetone CH3COCH3,50.5,Brick,5.16,Acrylic,0.2,Limestone,170,6000,1000,Barium bromate,2.43*10-4,Agate,2.5 - 2.6,
Brass,8.4,-,-,Carbon,1.4 × 104,Brass,21.1,-,Brass,410 - 590,15 - 50,Alcohol,2440,Acetylene,-84,Cast iron,5.09,Air,0.0262,Marble,170,10000,1400,Barium carbonate,2.58*10-9,Acrylic,1.19,
Brass,8.75,1000,-,Copper,17,Brass,19.1,-,Brass,300 - 590,4 - 50,Alcohol,2530,Alcohol - ethyl  C2H5OH,79,Copper,0.119,Air,0.02,Slate,175,15000,,Barium chromate,1.17*10-10,Agate,2.6,
Brick,1.8 - 2.4,-,-,Copper Alloy,17 - 490,Brick,5.00 - 7.00,-,Brick,7.0 - 70,-,Aluminum,897,Alcohol - allyl,97.2,Cotton,4.23,Agate,10.9,,,,,Barium fluoride,1.84*10-7,Alabaster carbonate,2.7 - 2.8,
Bronze,7.8 - 8.8,1050,-,Gold,24,Bronze,18.0 - 21.0,-,Bronze,200 - 830,5 - 60,Aluminum bronze,436,Alcohol - butyl-n,117,Glass,5.13,Alcohol,0.17,,,,,Barium hydroxide octahydrate,2.55*10-4,Alabaster sulfate,2.3,
Bronze,8.3,-,-,Iron,97,Bronze,20,-,Bronze,450 - 620,10 - 35,Alumina,718,Alcohol - methyl  CH3OH,64.7,Lamp black,5.16,Aluminum,205,,,,,Barium iodate,4.01 *10-9,"Alum, lumpy",0.881,
Carbon,2.25,4492,3642,Lead,210,Concrete,7.00 - 14.0,-,Concrete ,10 - 70,-,Ammonia,4700,Alcohol - propyl,97.5,Oil paint,4.3,Aluminum Brass,121,,,,,Barium iodate monohydrate,1.67 *10-9,"Alum, pulverized",0.752,
Ceramic,2 - 3,3870,-,Magnesium,45,Copper,16.6 - 17.6,410,Copper,230 - 380,10 - 50,Ammonia,2060,Ammonia,-35.5,Paper,4.43,Aluminum Oxide,30,,,,,Barium molybdate,3.54*10-8,Alumina (aluminium oxide),3.95 - 4.1,
Concrete,2.3 - 2.4,-,-,Nickel,70,Copper Alloy,17,-,Copper Alloy,830,4,Antimony,209,Aniline,184.4,Plaster,5.16,Ammonia ,0.0249,,,,,Barium nitrate,4.64*10-3,Aluminum,2.7,
Copper,8.94,1085,2562,Platinum,110,Glass,5.00 - 11.0,-,Glass,30 - 1000,-,Argon,520,Argon,-186,Sand,4.2,Antimony,18.5,,,,,Barium selenate,3.40*10-8,Aluminum Bronze,7.7,
Copper Alloy,8.23,925,-,Silicon,100,Gold,-,317,Iron ,69 - 480,0 - 1,Arsenic,348,Benzene  C6H6,80.4,Shavings,4.1,Apple ,0.39,,,,,Barium sulfate,1.08*10-10,Albite,2.6 - 2.65,
