Material,"Density (×1000 kg/m3)","Melting Point (ºC)","Boiling Point (ºC)",Material,"Electric Resistivity (×10-9 W·m)",Material,"Thermal Expansion Coefficient (×10-6/ºC)","Thermal Conductivity (W/m·K)",Material,"Yield Stress (MPa)","Ultimate Stress (MPa)","Elongation (%)"
Aluminum [Al],2.71,660.3,2519,Aluminum [Al],27,Aluminum [Al],23,237,Aluminum [Al],20,70,60
Aluminum Alloy,2.64 - 2.8,565.0 - 660.0,-,Aluminum Alloy,50,Aluminum Alloy,23,-,Aluminum Alloy,35 - 500,100 - 550,1 - 45
Brass,8.4 - 8.75,930,-,Brass,20 - 61,Brass,19.1 - 21.2,-,Brass,70 - 550,200 - 620,4 - 60
Brass; Noval,8.4,-,-,Carbon [C],1.4 × 104,Brass; Noval,21.1,-,Brass; Noval,170 - 410,410 - 590,15 - 50
"Brass; Red (80% Cu, 20% Zn)",8.75,1000,-,Copper [Cu],17,"Brass; Red (80% Cu, 20% Zn)",19.1,-,"Brass; Red (80% Cu, 20% Zn)",90 - 470,300 - 590,4 - 50
Brick,1.8 - 2.4,-,-,Copper Alloy,17 - 490,Brick,5.00 - 7.00,-,Brick,-,7.0 - 70,-
Bronze; Regular,7.8 - 8.8,1050,-,Gold [Au],24,Bronze; Regular,18.0 - 21.0,-,Bronze; Regular,82 - 690,200 - 830,5 - 60
Bronze; Manganese,8.3,-,-,Iron [Fe],97,Bronze; Manganese,20,-,Bronze; Manganese,170 - 450,450 - 620,10 - 35
Carbon [C],2.25,4492,3642,Lead [Pb],210,Concrete,7.00 - 14.0,-,Concrete (Compression),-,10 - 70,-
Ceramic,2 - 3,3870,-,Magnesium [Mg],45,Copper [Cu],16.6 - 17.6,410,Copper [Cu],55 - 330,230 - 380,10 - 50
Concrete,2.3 - 2.4,-,-,Nickel [Ni],70,Copper Alloy,17,-,Copper Alloy,760,830,4
Copper [Cu],8.94,1085,2562,Platinum [Pt],110,Glass,5.00 - 11.0,-,Glass,-,30 - 1000,-
Copper Alloy,8.23,925,-,Silicon [Si],100,Gold [Au],-,317,Iron (Cast),120 - 290,69 - 480,0 - 1
Cork,0.15 - 0.2,-,-,Silver [Ag],16,Iron [Fe],-,80.2,Iron (Wrought),210,340,35
Glass,2.4 - 2.8,-,-,Solder; Tin-Lead,130 - 210,Iron (Cast),9.90 - 12.0,-,Magnesium [Mg],20 - 70,100 - 170,5 - 15
Gold [Au],19.32,1064,2856,Steel,120 - 1700,Iron (Wrought),12,-,Magnesium Alloy,80 - 280,140 - 340,2 - 20
Iron [Fe],7.87,1538,2861,Tin [Sn],110,Lead [Pb],-,35.3,"Monel (67% Ni, 30% Cu)",170 - 1100,450 - 1200,2 - 50
Iron (Cast),7 - 7.4,-,-,Titanium [Ti],430,Magnesium [Mg],25.2,156,Nickel [Ni],140 - 620,310 - 760,2 - 50
Iron (Wrought),7.4 - 7.8,-,-,Tungsten [W],56,Magnesium Alloy,26.1 - 28.8,-,Nylon; Polyamide,-,40 - 70,50
Lead [Pb],11.3,327.5,1749,Zinc [Zn],59,"Monel (67% Ni, 30% Cu)",14,-,Rubber,1.0 - 7.0,7.0 - 20,100 - 800
Magnesium [Mg],1.74,650,1090,,,Nickel [Ni],13,90.7,Solder; Tin-Lead,-,12 - 54,55 - 30
Magnesium Alloy,1.77,1246,2061,,,Nylon; Polyamide,75.0 - 100,-,Steel,280 - 1600,340 - 1900,3 - 40
"Monel (67% Ni, 30% Cu)",8.84,1330,-,,,Platinum [Pt],-,71.6,Stone; Granite (Compression),-,70 - 280,-
Nickel [Ni],8.89,1455,2913,,,Rubber,130 - 200,-,Stone; Limestone (Compression),-,20 - 200,-
Nylon; Polyamide,1.1,-,-,,,Silicon [Si],-,148,Stone; Marble (Compression),-,50 - 180,-
Platinum [Pt],21.4,1768,3825,,,Silver [Ag],-,429,Titanium [Ti],-,500,25
Rubber,0.96 - 1.3,-,-,,,Solder; Tin-Lead,-,30.0 - 49.8,Titanium Alloy,-,900 - 970,10
Silicon [Si],2.33,1382,-,,,Steel,10.0 - 18.0,-,Tungsten [W],-,1400 - 4000,0 - 4
Silver [Ag],10.49,961.8,2162,,,Tin [Sn],-,66.6,Wood; Ash (Bending),40 - 70,50 - 100,-
Solder; Tin-Lead,8.17 - 11.34,215,-,,,Titanium [Ti],-,21.9,Wood; Douglas Fir (Bending),30 - 50,50 - 80,-
Steel,7.85,1425,-,,,Titanium Alloy,8.00 - 10.0,-,Wood; Oak (Bending),40 - 60,50 - 100,-
Stone; Granite,2.6,-,-,,,Tungsten [W],4.3,174,Wood; Southern Pine (Bending),40 - 60,50 - 100,-
Stone; Limestone,2 - 2.9,-,-,,,Zinc [Zn],30.2,116,,,,
Stone; Marble,2.6 - 2.9,-,-,,,,,,,,,
Stone; Quartz,2.6,-,-,,,,,,,,,
Tin [Sn],7.3,231.9,2602,,,,,,,,,
Titanium [Ti],4.54,1668,3287,,,,,,,,,
Titanium Alloy,4.51,-,-,,,,,,,,,
Tungsten [W],19.3,3422,5555,,,,,,,,,
Wood; Ash,0.56 - 0.64,-,-,,,,,,,,,
Wood; Douglas Fir,0.48 - 0.56,-,-,,,,,,,,,
Wood; Oak,0.64 - 0.72,-,-,,,,,,,,,
Wood; Southern Pine,0.55 - 0.64,-,-,,,,,,,,,
Zinc [Zn],7.14,419.5,907,,,,,,,,,
